문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
1,병원통계의 목적이 잘 설명된 것은?,,진료평가 활동의 기준 지침이 됨,외부기관의 요구에 방어하기 위한 자료임,병원의 혁신과 인력 수급을 위한 기준 지표임,의학연구 및 효율적 병원운영에 필요한 자료를 제공함,사용된 용어의 정확한 정의를 내리기 위한 자료를 제공함,4,"• 효율적인 병원 운영에 필요한 자료를 즉시 제공
• 의학연구에 필요한 자료를 제공: 수술통계, 질병별 통계, 각종 사망률 등에 자료가 의학연구에 필요한 자료로 산출
• 외부기관에 보고해야 할 통계를 제공: 병원표준화심사, 수련병원실태조사, 의료기관 서비스평가
• 진료평가 활동에 참고자료로 사용: 적정진료보장, 의료이용도 조사",의료기관,108,2
2,2025년 4월 24일에 입원하여 다음 달인 5월 15일에 퇴원한 환자의 재원일수는?,,20일,21일,22일,23일,24일,2,4월의 재원일수 + 5월의 재원일수 = (30-24) + 15 = 21일,재원일수,213,60
3,"통계에서 교육수준, 보험 종류 등 기본적으로 숫자로 표시할 수 없는 자료를 뜻하는 용어는?",,모수,표본,모집단,질적자료,양적자료,4,"• 질적자료: 범주형 자료(categorical data), 숫자로 표시할 수 없는 자료 (교육수준, 보험 종류 등)",질적자료,246,124
4,"신생아의 키, 몸무게, 아프가점수를 환자별로 숫자로 표현한 자료 등을 뜻하는 용어는?",,모수,표본,모집단,질적자료,양적자료,5,"자료 자체가 숫자로 표현되어 있는 질적자료와는 달리 자료의 속성을 그대로 반영하는 숫자로 표현하는 자료 (환자의 키, 몸무게, 나이, 혈압 등)",양적자료,247,125
5,다음 사례에서 신장내과의 2025년 4월 평균재원일수는?,"<신장내과 2025년 4월>
• 4월 퇴원환자 수: 650명
• 총 재원일수: 10,400일",9일,9.5일,10일,11일,16일,5,"평균재원일수: 기간 중 퇴원한 환자들이 평균 며칠씩 재원하였는가를 알 수 있음= 기간 중 퇴원환자의 총 재원일수 / 기간 중 총 퇴원환자 수= 10,400 / 650 = 16일",평균재원일수,18,62
6,다음 설명에 맞는 것은?,"• 성별: 남자(1), 여자(0)로 표시
• 혈액형: A형(1), B형(2), O형(3), AB형(4)로 표시
• 측정대상의 특성을 명칭으로 구별",명목척도,간격척도,비율척도,서열척도,비교척도,1,"측정척도의 종류: 명목척도, 간격척도, 비율척도, 서열척도
• 명목척도(nominal scale): 측정대상의 특성을 명칭으로 구별하는 척도","명목(범주, 유목)척도",263,90
7,사례와 같이 환자의 만족도를 알아보는 측정척도는?,"입원기간 중 우리병원에서 받은 의료서비스에 대하여 어느 정도 만족하십니까?
① 매우 불만이다.
② 불만이다.
③ 보통이다.
④ 만족한다.
⑤ 매우 만족한다.",명목척도,간격척도,비율척도,서열척도,비교척도,4,"서열척도(ordinal scale): 측정대상의 특성을 상대적 크기에 따라 순서로서 구분할 수 있는 척도, 측정대상 간 서열관계가 있음",순위(서열)척도,266,91
8,다음 설명과 관련된 통계 용어는?,"• 관심의 대상이 되는 모든 환자의 관측값이나 측정값의 집합
• 조사하고자 하는 내용이 정의되어 있는 조사단위의 전체",변수,표본,오차,모수,모집단,5,모집단(population): 관심의 대상이 되는 모든 환자의 관측값이나 측정값의 집합으로 조사하고자 하는 내용이 정의되어 있는 조사단위의 전체를 의미함,모집단,252,126
9,다음 제시한 예와 같은 변수는?,"혈압(BP), Total bilirubin, Age, Body Wt., Ht",모변수,이산변수,양적변수,유한변수,질적변수,3,"변수의 분류
• 질적변수: 질적자료 값을 가지는 변수(성별)
• 양적변수: 키, 몸무게, 나이와 같은 양적자료 값을 가지는 변수",양적변수,250,125
10,다음 설명과 관련 있는 것은?,"• 통계적 처리를 위하여 모집단에서 실제로 추출한 관측값이나 측정값의 집합
• 모집단에서 추출된 일부의 집단",변수,표본,오차,평균,모집단,2,표본(sample): 모집단에서 추출된 일부의 집단 또는 모집단에서 실제로 추출한 관측값이나 측정값의 집합,표본,253,127
11,모수(parameter)를 가장 잘 정의한 것은?,,모집단에서 산출되는 특성값,모집단에서 추출된 일부의 집단,측정하여 숫자로 표현되는 변수,표본에서 계산되는 기술적인 특성값,한 가지 이상의 자료값을 가질 수 있는 것,1,모수(parameter)는 모집단에서 산출되는 특성값입니다. 표본에서 계산되는 특성값은 '통계량'이라고 합니다.  ,모수,255,129
12,비표본오차를 줄일 수 있는 최우선 순위는?,,조사 후 훈련,조사시작과 종료시간의 선정,조사방법과 조사시간의 선정,조사자 인건비와 조사 후 교육,조사자 선정과 조사를 위한 선행교육,5,비표본오차를 줄이기 위한 최우선 순위는 조사자 선정과 조사를 위한 선행교육 및 훈련입니다.  ,비표본오차,262,89
13,다음 설명의( )에 맞는 내용은?,표본오차에 영향을 미치는 가장 큰 요인은 ( )이다.,표본의 기준 내용,표본의 구조와 접근도,표본 자료의 지정추출법,표본 자료를 통한 추론 정도,표본의 정확성과 표본의 크기,5,표본오차에 영향을 미치는 최대 요인은 표본의 정확성과 표본의 크기입니다.  ,표본,253,127
14,이산변수로 옳은 것은?,,체중,혈압,맥박,비용,환자 수,5,"이산변수는 환자 수와 같이 정수 단위(셀 수 있는 단위)로 나누어 측정할 수 있는 변수입니다. 체중, 혈압, 맥박, 비용 등은 연속성을 가진 연속변수입니다.  ",이산변수,242,
15,전체 인구 중에서 병에 걸린 사람 수의 비율(rate)은?,,위험률(risk rate),발병률(attack rate),사망률(mortality rate),발생률(incidence rate),유병률(prevalence rate),5,유병률은 어느 기간에서의 인구 수에 대한 환자 수의 비율을 의미합니다.  ,유병률,96,43
16,코호트 연구의 장점으로 옳은 것은?,"A. 실제 상대위험도를 알 수 있다.
B. 장기간 추적하므로 드문 질병에 알맞다.
C. 회상이나 기억 편견을 줄일 수 있다.
D. 비용이 저렴하다.","A, B, C","A, C","B, D",D,"A, B, C, D",2,"코호트 연구는 특정 요인에 노출된 집단과 노출되지 않은 집단을 전향적으로 추적하는 연구로, 실제 상대위험도를 알 수 있고 회상/기억 편견을 줄일 수 있습니다(A, C). 다만, 오랜 기간 대규모 대상자를 추적하므로 비용과 시간이 많이 들고 드문 질병에는 부적합합니다.  ",상대위험도(비교위험도),103,134
17,다음 설명과 관련 있는 일반적 지표는?,"• 주어진 자료를 대표하는 특정값
• 자료의 중심적인 경향이나 자료 분포의 중심의 위치를 나타냄
• 관찰값의 중심적 경향을 나타내는 척도
• 어떤 집단의 특성을 하나의 숫자로 표현하여 그 집단의 특징을 나타낼 수 있는 숫자","분산, 평균","최빈값, 평균","평균, 표준편차","분산, 표준편차","표준편차, 최빈값",2,"제시된 설명은 자료 분포의 중심 위치를 나타내는 대푯값(중심 경향)에 대한 설명으로, 대표적인 대푯값 지표에는 평균, 중앙값, 최빈값 등이 있습니다. 선택지 중 대푯값으로만 묶인 것은 '최빈값, 평균'입니다.  ",최빈값,294,98
18,내분비내과 병동 환자의 4월 재원일 수를 나타냈을 때 다음과 같이 최소 14일에서 최대 26일의 분포를 보였다. 이때 자료값 19는?,"14, 16, 17, 19, 22, 23, 26",평균,범위,최빈수,중앙값,표준편차,4,"코호트 연구는 특정 요인에 노출된 집단과 노출되지 않은 집단을 전향적으로 추적하는 연구로, 실제 상대위험도를 알 수 있고 회상/기억 편견을 줄일 수 있습니다(A, C). 다만, 오랜 기간 대규모 대상자를 추적하므로 비용과 시간이 많이 들고 드문 질병에는 부적합합니다.  ",중앙값(중위수),292,97
19,다음 설명하는 자료값은?,"• 자료 중에서 가장 많이 나타나는 빈도수가 가장 많은 값
• 한 줄로 나열한 자료인 경우 가장 많이 나타나는 값
• 도수분포곡선에서는 최고봉에 해당하는 자료의 값
• 이 자료값은 없을 수도 있음",평균,범위,최빈수,중앙값,표준편차,3,자료 중 빈도수가 가장 높게 나타나는 자료값을 최빈값 또는 최빈수라고 합니다.  ,최빈수,294,98
20,자료가 짝수 개일 경우 중앙에 위치한 두 개의 값에서 중앙값을 선정하는 방식은?,,두 값의 평균,먼저 나열된 값,뒤에 나열된 값,둘 다 중앙값으로 선정,둘 중 무작위로 하나를 선정,1,"관찰 자료의 개수가 짝수 개이면 중앙에 위치한 값이 두 개가 되므로, 이 두 값의 평균을 중앙값으로 선정합니다.  ",중앙값(중위수),292,97
21,다음과 같이 두 개 숫자의 상대적 크기를 비교한 것을 뜻하는 용어는?,"• 남성(46%): 여성(54%)
• 입원(77.2%): 외래(22.8%)",비(ratio),비율(rate),분율(proportion),백분율(percentage),퍼센트포인트(percentage point),1,"분자와 분모가 서로 독립적인 관계로 서로 다른 범주일 때, 두 개 숫자의 상대적 크기를 비교하여 나타낸 것을 비(ratio)라고 합니다.  ",,,
22,병상회전율(bed turnover rate) 계산에서 필요한 것은?,,총 수술건수,총 재원일수,총 퇴원환자 수,재원환자 연인원수,일일평균 재원환자 수,3,직접산정 방식에 따른 병상회전율은 '기간 중 총 퇴원환자 수(사망 포함) / 기간 중 사용했던 평균 병상'으로 계산하므로 총 퇴원환자 수가 필요합니다.  ,병상회전율(회),23,65
23,"병상가동률 계산 시, 가동 병상에 포함되는 것은?",,회복실,분만실,응급실,중환자실,물리치료실,4,"중환자실(ICU, CCU, NICU), 격리병상 등 입원환자 전용 병상은 가동병상에 포함됩니다. 회복실, 분만실, 수술실, 응급실 등은 일시적 사용을 위한 병상이므로 제외됩니다.  ",가동병상,590,64
24,"병상가동률 계산 시, 제외되는 병상은?",,관찰병동,신생아실,격리병상,인공투석실,신경계 중환자실,4,"인공투석실, 주실실, 검실실, 응급실, 외래환자용 병상 등은 병상이용률(가동률) 계산 시 제외되는 대표적인 병상입니다.  ",가동병상,590,64
25,다음 사례에서 1월의 병상이용률은?,"<B병원 2025년 1월>
• 가동병상 수: 540병상
• 재원환자의 연인원수: 15,000명",27%,36%,52%,89%,92%,4,"병상이용률 = {기간 중 재원환자 연인원수 / (이용 가능한 총 병상 수 × 기간 중 일수)} × 100이므로, {15,000 / (540 × 31일)} × 100 = 89.6%로 약 89%입니다.  ",병상가동률(병상이용률),19,64
26,2025년 4월 내과 입원환자 38명 중 3명이 정신과로 전과하였다. 2025년 4월의 내과의 전과율은?,,4.40%,7.30%,7.90%,8.50%,9.50%,3,"전과율 = (전과 환자 수 / 해당 과 입원환자 수) × 100이므로, (3 / 38) × 100 = 7.89%로 약 7.9%입니다.  ",전과율(환자수),11,
27,다음 사례에서 2025년 4월 2일의 일일 재원환자수는?,"• 2025년 4월 1일 재원환자 수 (성인과 소아: 400명, 신생아: 40명)
• 2025년 4월 2일 현황 (입원환자 수: 20명, 출생아 수: 5명, 퇴원환자 수(사망 2명 포함): 15명, 당일 입퇴원환자 수: 2명)",443명,452명,460명,465명,482명,2,일일 재원환자 수 = 시점 재원환자 수 + 당일 입퇴원환자 수입니다. 시점 재원환자 수 = 전일 재원자(400+40) + 당일 입원자(20+5) - 당일 퇴원자(15) = 450명입니다. 여기에 당일 입퇴원환자 수(2명)를 더하면 450 + 2 = 452명입니다.  ,재원환자,218,56
28,다음 사례에서 2025년 3월 재입원율은?,"<2025년 3월 통계월보>
• 총 퇴원환자 수: 633명
• 신생아 퇴원환자 수: 13명
• 재입원환자 수: 250명",40%,40.20%,40.30%,41%,41.20%,3,"재입원율은 신생아를 제외하여 계산합니다. 재입원율 = {재입원환자 수 / (총 퇴원환자 수 - 신생아 퇴원 수)} × 100이므로, {250 / (633 - 13)} × 100 = (250 / 620) × 100 = 40.32%로 약 40.3%입니다.  ",재입원율,38,63
29,정형외과 전문병원의 2025년 5월 외래 통계 현황이다. 외래환자 1인당 평균 방문 횟수를 구하는 식은?,"<2025년 5월 외래환자 통계 월보>
• 외래진료일 수: 22일
• 외래 초진환자 수: 470명
• 외래 재진환자 수: 720명
• 외래환자 실인원 수: 980명
• 외래환자 연인원 수: 11,050명",980 / 22,980 / 470,"11,050 / 980","11,050 / 22","720 / 11,050",3,"외래환자 1인당 평균 방문 횟수 = 외래환자 연인원 수(총 내원 횟수) / 외래환자 실인원 수(실제 환자 수)이므로, 11,050 / 980 입니다.  ",외래환자 연인원수,124,73
30,다음 사례에서 2025년 1월의 신경외과의 협의건수율은?,"<2025년 1월 신경외과>
• 퇴원환자 수: 180명
• 협의진료 환자 수: 120명
• 협의진료 건수: 160건",86.80%,88.90%,89.50%,89.70%,89.80%,2,"협의건수율 = (협의진료 건수 / 퇴원환자 수) × 100이므로, (160 / 180) × 100 = 88.88%로 약 88.9%입니다.  ",협의진료,212,44
31,일정기간 연 외래환자 중 초진환자가 차지하는 비율은?,,초진입원율,평균 내원율,외래환자 초진율,외래환자 입원율,일일평균 외래환자 입원 수,3,외래환자 초진율은 일정기간 연 외래환자 중 초진환자가 차지하는 비율을 뜻합니다.  ,외래환자 초진율,62,67
32,간접모성사망에 해당하는 것은?,,분만 시 사망한 경우,유산 후 과다출혈로 사망한 경우,임신 중 교통사고로 사망한 경우,임신 중 폐결핵으로 사망한 경우,타 의료기관에서 출산 후 합병증으로 사망한 경우,4,"당뇨, 폐결핵 등 원래 가지고 있던 병이 임신으로 인해 악화되어 사망한 경우를 간접모성사망이라고 합니다.  ",간접모성사망(간접 산과적 사망),152,35
33,"2025년 3월 정형외과 외래환자 수가 1,800명이고 3월에 진료를 하지 않은 날 수는 4일이라면 2025년 3월의 평균 정형외과 외래환자 수는?",,56명,66명,67명,68명,69명,3,"3월의 전체 일수(31일)에서 진료를 하지 않은 날(4일)을 빼면 실제 진료일수는 27일입니다. 따라서 1,800명 / 27일 = 66.66명으로 반올림하여 67명입니다.  ",진료일수,615,66
34,이 환자의 퇴원과는?,"※ 다음 사례를 읽고 각 문항에 답하시오.
• 34세 여자환자, 2025년 1월 10일, 내과 입원
• 내과적 치료 중 결장의 종양이 발견되어 수술을 하기 위해 1월 23일에 일반외과로 전과
• 수술 후 2월 28일 합병증 없이 퇴원",내과,일반외과,"내과, 일반외과",재원기간이 긴과,재원기간이 짧은 과,2,퇴원과는 환자를 최종적으로 퇴원시킨 과(퇴원 지시를 받은 과)를 의미하므로 일반외과가 됩니다.  ,,,
35,이 환자의 재원일수는?,"※ 다음 사례를 읽고 각 문항에 답하시오.
• 34세 여자환자, 2025년 1월 10일, 내과 입원
• 내과적 치료 중 결장의 종양이 발견되어 수술을 하기 위해 1월 23일에 일반외과로 전과
• 수술 후 2월 28일 합병증 없이 퇴원",46일,47일,48일,49일,50일,4,"입원일과 퇴원일 중 하루만 포함하는 단입법을 적용합니다. 1월 재원일수는 31 - 10 = 21일이며 , 2월 재원일수는 28일이므로 총 재원일수는 21 + 28 = 49일입니다.  ",재원일수,213,60
36,일반외과 재원일수는?,"※ 다음 사례를 읽고 각 문항에 답하시오.
• 34세 여자환자, 2025년 1월 10일, 내과 입원
• 내과적 치료 중 결장의 종양이 발견되어 수술을 하기 위해 1월 23일에 일반외과로 전과
• 수술 후 2월 28일 합병증 없이 퇴원",34일,35일,36일,37일,38일,3,일반외과에서의 재원일수는 (31 - 23) + 28 = 36일입니다.  ,재원일수,213,60
37,D병원의 2024년 11월 중 평균 재원일수 계산식은?,"※ 다음은 D병원의 2024년 11월 통계월보이다. 아래 각 문항에 대하여 옳은 답을 고르시오(37~38).<D병원 2024년 11월 통계월보>
• 퇴원환자 수(사망 10명 포함): 900명
• 퇴원환자 총 재원일수: 11,000일
• 재원환자 연인원수: 12,000명
• 병상 수(분만실 10병상 포함): 110개","900 / 12,000","11,000 / 100","11,000 / 900","12,000 / 900","12,000 / 11,000",3,"평균 재원일수는 '총 재원일수 / 퇴원환자 수'로 계산하므로 11,000 / 900이 맞습니다.  ",평균재원일수,18,62
38,D병원의 2024년 11월 중 병상이용률 계산식은?,"※ 다음은 D병원의 2024년 11월 통계월보이다. 아래 각 문항에 대하여 옳은 답을 고르시오(37~38).<D병원 2024년 11월 통계월보>
• 퇴원환자 수(사망 10명 포함): 900명
• 퇴원환자 총 재원일수: 11,000일
• 재원환자 연인원수: 12,000명
• 병상 수(분만실 10병상 포함): 110개","9,000 / ((110+10)×30) × 100","11,000 / (110×30) × 100","11,000 / (100×30) × 100","12,000 / (100×30) × 100","12,000 / (110×30) × 100",4,"병상이용률은 '재원환자 연인원수 / (이용 가능한 병상 수 × 기간 중 날수) × 100'입니다. 분만실은 가동 병상에서 제외하므로 이용 가능 병상은 110 - 10 = 100개이며, 11월은 30일이므로 식은 12,000 / (100 × 30) × 100이 됩니다.  ",병상가동률(병상이용률),19,64
39,순사망률 산출식에서 분자는?,,퇴원자 - 사망자,사망자 - 24시간 이전 사망자,사망자 - 24시간 이후 사망자,사망자 - 48시간 이전 사망자,사망자 - 48시간 이후 사망자,4,순사망률 산출식의 분자는 '기간 중 총 사망자(신생아 포함) - 48시간 이전 사망자 수'입니다.  ,순사망률,44,46
40,다음 사례에서 순사망률을 구하는 계산식은?,"• 총 퇴원환자수 1,380명(사망 포함)
• 총 사망환자수 8명(48시간 이후 사망 3명 포함)
• 부검수 3명(1명은 법적문제로 이송)","8 / (1,380+5) × 100","(8-3) / (1,380-5) × 100","(8-3) / (1,380-3) × 100","(8-3) / 1,380 × 100","(8-5) / (1,380-5) × 100",5,"총 사망자 8명 중 48시간 이후 사망이 3명이므로, 48시간 이전 사망자는 8 - 3 = 5명입니다. 순사망률 공식에 대입하면 분자는 (8 - 5), 분모는 (1,380 - 5)가 되어 공식은 (8 - 5) / (1,380 - 5) × 100이 됩니다.  ",순사망률,44,46
41,진료환자통계연보의 보존기간은?,,2년,5년,10년,15년,영구보존,5,진료환자통계연보는 영구보존 대상 문서입니다.  ,,,
42,다음의 사례에서 2025년 4월의 병상이용률을 구하는 계산식이 옳은 것은?,"<2025년 4월 통계 월보>
• 병상수: 내과 160병상, 외과 110병상, 중환자실 25병상, 신장투석실 22병상, 격리병동 7병상, 분만실 8병상
• 퇴원환자 총 재원일수 10,150일
• 입원환자 실인원수 1,022명
• 재원환자 연인원수 8,188명","8,188 / ((160+110+25) × 30) × 100","10,150 / ((160+110-25) × 30) × 100","8,188 / ((160+110+25+7) × 30) × 100","10,150 / ((160+110+25-7) × 30) × 100","8,188 / ((160+110+25+22+7+8) × 30) × 100",3,"병상이용률 계산 시 신장투석실, 분만실 등 일시적 이용 병상은 제외하고 내과, 외과, 중환자실, 격리병동만 포함합니다. 4월은 30일이므로 공식은 8,188 / ((160 + 110 + 25 + 7) × 30) × 100이 됩니다.  ",병상가동률(병상이용률),19,64
43,K병원의 2024년도 통계 결과 순사망률 0.19%에 대한 해석으로 옳은 것은?,,사망으로 인한 퇴원환자가 전체 퇴원의 0.19%이다.,수술 후 사망한 퇴원환자가 전체 퇴원의 0.19%이다.,사산아를 포함한 모든 사망 퇴원환자가 전체 퇴원환자의 0.19%이다.,K병원 입원 후 48시간 이후 사망 퇴원환자가 전체 퇴원환자의 0.19%이다.,DOA와 사산아를 포함한 모든 사망 퇴원환자가 전체 퇴원환자의 0.19%이다.,4,"순사망률은 입원 후 48시간 이내 사망자를 제외하므로, 입원 후 48시간 이후 사망한 퇴원환자가 기준을 충족하는 전체 퇴원환자에서 차지하는 비율을 뜻합니다.  ",순사망률,44,46
44,E병원의 2024년 조사망률은?,"<E병원 2024년 연보 현황>
• 성인·소아용 병상: 620병상
• 신생아용 병상: 60병상

[총 퇴원환자 수 (사망 포함)]
• 성인·소아: 14,720명
• 신생아: 1,980명
• (총합: 16,700명)

[사망 환자 수 (명)]
• 48시간 이후 사망: 160명
• 48시간 이전 사망: 158명

[퇴원환자 총 재원일수 (일)]
• 성인·소아: 168,720일
• 신생아: 9,110일
• (총합: 177,830일)","158 / 14,720 × 100","158 / 16,700 × 100","1,008 / 14,720 × 100","(160+158) / 14,720 × 100","(160+158) / 16,700 × 100",5,"조사망률은 '기간 중 총 사망건수(신생아 포함) / 기간 중 총 퇴원환자수'로 계산하므로, 총 사망자수(160 + 158) / 총 퇴원환자수(167,00) × 100이 됩니다.  ",조사망률(보통사망률),46,77
45,E병원의 2024년 성인ㆍ소아의 평균 재원일수는?,"<E병원 2024년 연보 현황>
• 성인·소아용 병상: 620병상
• 신생아용 병상: 60병상

[총 퇴원환자 수 (사망 포함)]
• 성인·소아: 14,720명
• 신생아: 1,980명
• (총합: 16,700명)

[사망 환자 수 (명)]
• 48시간 이후 사망: 160명
• 48시간 이전 사망: 158명

[퇴원환자 총 재원일수 (일)]
• 성인·소아: 168,720일
• 신생아: 9,110일
• (총합: 177,830일)","9,110 / 1,080","16,700 / 168,720","168,720 / 14,720","16,700 / 14,720","177,830 / 14,720",3,"평균재원일수는 '총 재원일수 / 퇴원환자수'로 계산하므로, 성인·소아 자료를 대입하면 168,720 / 14,720이 됩니다.  ",평균재원일수,18,62
46,F병원의 2024년 7월의 사산율은?,"<F병원 2024년 7월 통계월보>
[산과 및 분만 현황]
• 미분만: 24명
• 분만: 157명
• 분만 후 입원: 7명
• 유산: 7명
• 사산아: 2명
• 신생아: 154명
• 제왕절개 수: 38건

[기타 환자 및 사망 현황]
• 부인과 환자: 58명
• 산모 사망: 1명",1.25%,1.27%,1.28%,1.29%,2.11%,3,"사산율 = {기간 중 사산아 수 / 기간 중 출생아 수(신생아 + 사산아)} × 100이므로, {2 / (154 + 2)} × 100 = 1.28%입니다.  ",사산율,53,49
47,F병원의 2024년 7월의 제왕절개율은?,"<F병원 2024년 7월 통계월보>
[산과 및 분만 현황]
• 미분만: 24명
• 분만: 157명
• 분만 후 입원: 7명
• 유산: 7명
• 사산아: 2명
• 신생아: 154명
• 제왕절개 수: 38건

[기타 환자 및 사망 현황]
• 부인과 환자: 58명
• 산모 사망: 1명",24.10%,24.20%,24.30%,24.50%,24.60%,2,"제왕절개율 = (제왕절개 수 / 총 분만 수) × 100이므로, (38 / 157) × 100 = 24.2%입니다.  ",제왕절개율,50,55
48,"G병원의 2024년 8월 성인, 소아의 일일 평균 재원환자 수는?","<G병원 2024년 8월 통계월보>
• 성인·소아용 병상: 300개
• 신생아용 병상: 30개

[성인 및 소아 현황]
• 재원 연인원수: 9,000명
• 퇴원환자 수: 450명
• 재원연일 수: 10,110일

[신생아 현황]
• 재원 연인원수: 915명
• 퇴원환자 수: 280명
• 재원연일 수: 980일",275,290,300,332,350,2,"일일 평균 재원환자 수 = 기간 중 재원환자 연인원수 / 기간 중 날수이므로, 8월(31일)을 적용하여 9,000 / 31 = 290.3명(약 290명)입니다.  ",일일 평균 재원환자수,7,59
49,G병원의 2024년 8월 신생아의 평균 재원일수는?,"<G병원 2024년 8월 통계월보>
• 성인·소아용 병상: 300개
• 신생아용 병상: 30개

[성인 및 소아 현황]
• 재원 연인원수: 9,000명
• 퇴원환자 수: 450명
• 재원연일 수: 10,110일

[신생아 현황]
• 재원 연인원수: 915명
• 퇴원환자 수: 280명
• 재원연일 수: 980일",3.2,3.5,3.6,3.7,3.9,2,"신생아 평균재원일수 = 총 재원일수 / 퇴원환자 수이므로, 980 / 280 = 3.5일입니다.  ",평균재원일수,18,62
