문제번호,문제,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설,용어,용어ID,일련번호
50,H병원의 2025년 1월 순부검률은?,"<H병원 2025년 1월 통계 현황>
• 퇴원환자 수 (사망 20명 포함): 1,244명

[48시간 이후 현황 (명)]
• 사망: 14명
• 부검: 13명
• 검사를 위해 이송 (미부검): 1명",63.20%,65.00%,66.20%,67.50%,68.40%,5,"순부검률 = {기간 중 입원사망 중 부검수 / (기간 중 입원사망 총수 - 법적 문제로 이송된 미부검 수)} × 100이므로, {13 / (20 - 1)} × 100 = 68.4%입니다.  ",순부검률,55,51
51,H병원의 2025년 1월 조사망률은?,"<H병원 2025년 1월 통계 현황>
• 퇴원환자 수 (사망 20명 포함): 1,244명

[48시간 이후 현황 (명)]
• 사망: 14명
• 부검: 13명
• 검사를 위해 이송 (미부검): 1명",1.10%,1.60%,11.40%,15.10%,16.00%,2,"조사망률 = (기간 중 사망건수 / 기간 중 총 퇴원환자수) × 100이므로, (20 / 1,244) × 100 = 1.6%입니다.  ",조사망률(보통사망률),46,77
52,2024년 일일평균 재원환자 수는?,"<J종합병원 2024년 통계 현황>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 650병상
• 신생아용 병상: 80병상

[총 퇴원환자 수 (사망 포함)]
• 성인·소아: 16,100명
• 신생아: 2,320명
• (총합: 18,420명)

[퇴원환자 총 재원일수 (일)]
• 성인·소아: 180,530일
• 신생아: 7,600일
• (총합: 188,130일)

[재원환자 연인원수 (명)]
• 성인·소아: 160,940명
• 신생아: 9,150명
• (총합: 170,090명)",438,440,466,491,493,2,"일일평균 재원환자 수는 특별히 신생아를 포함하라는 요구가 없으면 제외합니다. 따라서 (총 연인원 170,090 - 신생아 연인원 9,150) / 365일 = 160,940 / 365 = 440.9명(약 440명)입니다.  ",일일 평균 재원환자수,7,59
53,2024년 성인·소아 평균 재원일수는?,"<J종합병원 2024년 통계 현황>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 650병상
• 신생아용 병상: 80병상

[총 퇴원환자 수 (사망 포함)]
• 성인·소아: 16,100명
• 신생아: 2,320명
• (총합: 18,420명)

[퇴원환자 총 재원일수 (일)]
• 성인·소아: 180,530일
• 신생아: 7,600일
• (총합: 188,130일)

[재원환자 연인원수 (명)]
• 성인·소아: 160,940명
• 신생아: 9,150명
• (총합: 170,090명)",10.3일,11.2일,11.4일,11.7일,12.1일,2,"성인·소아 평균 재원일수 = 기간 중 성인·소아 총 재원일수 / 기간 중 성인·소아 총 퇴원환자수 이므로, 180,530 / 16,100 = 11.2일입니다.  ",평균재원일수,18,62
54,2024년 신생아 병상이용률은?,"<J종합병원 2024년 통계 현황>
• 기간: 2024년 (365일)
• 성인·소아용 병상: 650병상
• 신생아용 병상: 80병상

[총 퇴원환자 수 (사망 포함)]
• 성인·소아: 16,100명
• 신생아: 2,320명
• (총합: 18,420명)

[퇴원환자 총 재원일수 (일)]
• 성인·소아: 180,530일
• 신생아: 7,600일
• (총합: 188,130일)

[재원환자 연인원수 (명)]
• 성인·소아: 160,940명
• 신생아: 9,150명
• (총합: 170,090명)",29.80%,30.20%,31.00%,31.30%,32.00%,4,"신생아 병상이용률 = {신생아 재원환자 연인원수 / (신생아 총 병상 수 × 기간 중 일수)} × 100이므로, {9,150 / (80 × 365)} × 100 = 31.3%입니다.  ",병상가동률(병상이용률),19,64
55,2025년 1월 일일평균 재원환자 수는?,"<K국제병원 2025년 1월 통계자료>
• 퇴원환자 수: 1,496명
• 그 달의 재원환자 연인원수: 9,248명
• 재원연일수: 8,504일
• 사망자 수: 38명
• 부검 수: 18명
• 분만환자 수: 318명
• 제왕절개분만환자 수: 12명",206.5,298.3,308,308.3,309,2,"일일평균 재원환자 수 = 재원환자 연인원수 / 기간 중의 날수 이므로, 9,248 / 31 = 298.3명입니다.  ",일일 평균 재원환자수,7,59
56,2025년 1월 제왕절개율은?,"<K국제병원 2025년 1월 통계자료>
• 퇴원환자 수: 1,496명
• 그 달의 재원환자 연인원수: 9,248명
• 재원연일수: 8,504일
• 사망자 수: 38명
• 부검 수: 18명
• 분만환자 수: 318명
• 제왕절개분만환자 수: 12명",3.70%,3.80%,3.90%,4.00%,4.10%,2,"제왕절개율 = (제왕절개 수 / 분만 총 수) × 100이므로, (12 / 318) × 100 = 3.77%로 반올림하여 3.8%입니다.  ",제왕절개율,50,55
57,B병원의 2025년 1월의 순사망률은?,"<B병원의 2025년 1월 사망 및 부검건수 통계자료>
• 총 퇴원환자 수: 1,450명

[사망 환자 현황]
• 총 사망자 수 (48시간 이후 사망자 수 포함): 25명
• 48시간 이후 사망자 수: 15명
• 48시간 이전 사망자 수: 10명

[부검 및 이송 현황]
• 부검자 수: 5명
• 법적문제로 인한 이송 사망자 수: 2명",0.60%,0.70%,1.00%,1.10%,1.70%,3,"순사망률 = {(총 사망자 수 - 48시간 이전 사망자 수) / (총 퇴원환자 수 - 48시간 이전 사망자 수)} × 100이므로, {(25 - 10) / (1,450 - 10)} × 100 = (15 / 1,440) × 100 = 1.0%입니다.  ",순사망률,44,46
58,B병원의 2025년 1월의 순부검률은?,"<B병원의 2025년 1월 사망 및 부검건수 통계자료>
• 총 퇴원환자 수: 1,450명

[사망 환자 현황]
• 총 사망자 수 (48시간 이후 사망자 수 포함): 25명
• 48시간 이후 사망자 수: 15명
• 48시간 이전 사망자 수: 10명

[부검 및 이송 현황]
• 부검자 수: 5명
• 법적문제로 인한 이송 사망자 수: 2명",20%,21%,22%,27%,28%,3,"순부검률 = {부검수 / (사망자 총수 - 법적 문제로 이송한 미부검수)} × 100이므로, {5 / (25 - 2)} × 100 = (5 / 23) × 100 = 21.7%로 약 22%입니다.  ",순부검률,55,51
59,B병원의 2025년 1월의 조사망률은?,"<B병원의 2025년 1월 사망 및 부검건수 통계자료>
• 총 퇴원환자 수: 1,450명

[사망 환자 현황]
• 총 사망자 수 (48시간 이후 사망자 수 포함): 25명
• 48시간 이후 사망자 수: 15명
• 48시간 이전 사망자 수: 10명

[부검 및 이송 현황]
• 부검자 수: 5명
• 법적문제로 인한 이송 사망자 수: 2명",0.60%,0.70%,1.00%,"1,1%",1.70%,5,"조사망률 = (기간 중 총 사망자 수 / 기간 중 총 퇴원환자 수) × 100이므로, (25 / 1,450) × 100 = 1.7%입니다.  ",조사망률(보통사망률),46,77
60,수술 후 사망률은?,"<M병원의 퇴원분석 중 수술 관련 조사결과>
• 총 수술환자 수: 600명
• 총 수술건수: 640건

[사망 및 감염 현황 (명)]
• 수술 후 12일째 사망 수: 4명
• 수술 후 9일째 사망 수: 5명
• 수술 후 감염건수: 3건",0.50%,0.60%,0.80%,1.00%,1.50%,3,"수술 후 사망이란 수술 후 10일 이내(수술일+9일)에 발생한 사망을 의미하므로 9일째 사망한 5명만 포함됩니다. 수술 후 사망률 = (수술 후 10일 이내 사망자 수 / 총 수술환자 수) × 100이므로, (5 / 600) × 100 = 0.83%로 약 0.8%입니다.  ",수술 후 사망률,47,47
61,수술 후 감염률은?,"<M병원의 퇴원분석 중 수술 관련 조사결과>
• 총 수술환자 수: 600명
• 총 수술건수: 640건

[사망 및 감염 현황 (명)]
• 수술 후 12일째 사망 수: 4명
• 수술 후 9일째 사망 수: 5명
• 수술 후 감염건수: 3건",0.40%,0.50%,0.60%,0.70%,0.80%,1,"수술 후 감염률 = (기간 중 수술 후 감염 수 / 기간 중 총 수술건수) × 100이므로, (3 / 640) × 100 = 0.46%입니다. 선택지 중 가장 가까운 값은 0.4%입니다.  ",수술 후 감염률,,54
62,P병원의 평균 재원일수는?,"<P병원 2025년도 5월 통계자료>
• 성인과 소아용 병상: 600개
• 신생아용 병상: 50개

[재원환자 연인원수 (명)]
• 성인과 소아: 11,200명
• 신생아: 982명

[총 퇴원환자 수 (명)]
• 성인과 소아: 2,460명
• 신생아: 275명

[총 재원일수 (일)]
• 성인과 소아: 15,263일
• 신생아: 994일",1.6일,3.6일,4.5일,5.9일,6.2일,4,"평균 재원일수 = 총 재원일수 / 퇴원환자 수이므로, (15,263 + 994) / (2,460 + 275) = 16,257 / 2,735 = 5.94일입니다.  ",평균재원일수,18,62
63,P병원 신생아의 평균 재원일수는?,"<P병원 2025년도 5월 통계자료>
• 성인과 소아용 병상: 600개
• 신생아용 병상: 50개

[재원환자 연인원수 (명)]
• 성인과 소아: 11,200명
• 신생아: 982명

[총 퇴원환자 수 (명)]
• 성인과 소아: 2,460명
• 신생아: 275명

[총 재원일수 (일)]
• 성인과 소아: 15,263일
• 신생아: 994일",0.3일,1일,3.5일,3.6일,3.7일,4,"신생아 평균 재원일수 = 신생아 총 재원일수 / 신생아 퇴원환자 수이므로, 994 / 275 = 3.61일입니다.  ",평균재원일수,18,62
64,P병원의 일일 평균 재원환자 수는?,"<P병원 2025년도 5월 통계자료>
• 성인과 소아용 병상: 600개
• 신생아용 병상: 50개

[재원환자 연인원수 (명)]
• 성인과 소아: 11,200명
• 신생아: 982명

[총 퇴원환자 수 (명)]
• 성인과 소아: 2,460명
• 신생아: 275명

[총 재원일수 (일)]
• 성인과 소아: 15,263일
• 신생아: 994일",79일,88일,361일,393일,524일,4,"일일 평균 재원환자 수 = 기간 중 재원환자 연인원수 / 기간 중 날수이므로, (11,200 + 982) / 31 = 12,182 / 31 = 392.9명(약 393명)입니다.  ",일일 평균 재원환자수,7,59
65,P병원의 성인과 소아의 병상이용률은?,"<P병원 2025년도 5월 통계자료>
• 성인과 소아용 병상: 600개
• 신생아용 병상: 50개

[재원환자 연인원수 (명)]
• 성인과 소아: 11,200명
• 신생아: 982명

[총 퇴원환자 수 (명)]
• 성인과 소아: 2,460명
• 신생아: 275명

[총 재원일수 (일)]
• 성인과 소아: 15,263일
• 신생아: 994일",14.70%,32.00%,60.20%,65.50%,82.10%,3,"성인·소아 병상이용률 = {성인·소아 연인원수 / (성인·소아 병상 수 × 기간 중 일수)} × 100이므로, {11,200 / (600 × 31)} × 100 = 60.21%입니다.  ",병상가동률(병상이용률),19,64
66,신생아의 병상이용률을 계산할 때 제외하는 것은?,,과숙아,조숙아,선천성 기형아,구급차에서 분만한 신생아,제왕절개 수술로 분만한 만기 신생아,4,구급차에서 분만하여 입원한 신생아는 소아청소년과 입원으로 분류하므로 신생아 통계에서 제외됩니다.  ,소아청소년과,221,10
67,퇴원환자의 통계 분석에서 소아청소년과 환자의 기준은?,,그 병원에서 분만한 아기,만 12세 이하의 모든 환자,만 14세 이하의 모든 환자,만 13세 이하의 소아청소년과 퇴원환자,만 18세 이하의 소아청소년과 퇴원환자,5,퇴원환자 통계 분석 시 소아청소년과의 기준은 만 18세 이하입니다.  ,소아청소년과,221,7
68,Q병원의 2024년 조부검률은?,"<Q병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원환자 및 사망 현황 (명)]
• 퇴원환자 - 성인 및 소아: 12,730명
• 퇴원환자 - 신생아: 1,841명
• 입원사망 - 성인 및 소아 (48시간 이내: 38명 / 48시간 이후: 289명)
• 입원사망 - 신생아 (48시간 이내: 30명 / 48시간 이후: 25명)
• 태아사망 - 중기: 4명
• 태아사망 - 만기: 11명

[부검 현황 (건)]
• 부검 수 - 성인 및 소아 (48시간 이내: 25건 / 48시간 이후: 260건)
• 부검 수 - 신생아 (48시간 이내: 23건 / 48시간 이후: 12건)
• 부검 수 - 태아사망 (중기: 3건 / 만기: 7건)
• 입원사망이 아닌 부검: 31건
• 검사관에게 이송되어 미부검: 14건",80.10%,82.30%,83.80%,86.30%,96.90%,3,"조부검률 = (부검 수 / 총 사망자 수) × 100이므로, (320 / 382) × 100 = 83.76%입니다.  ",조부검률,54,50
69,Q병원의 2024년 순부검률은?,"<Q병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원환자 및 사망 현황 (명)]
• 퇴원환자 - 성인 및 소아: 12,730명
• 퇴원환자 - 신생아: 1,841명
• 입원사망 - 성인 및 소아 (48시간 이내: 38명 / 48시간 이후: 289명)
• 입원사망 - 신생아 (48시간 이내: 30명 / 48시간 이후: 25명)
• 태아사망 - 중기: 4명
• 태아사망 - 만기: 11명

[부검 현황 (건)]
• 부검 수 - 성인 및 소아 (48시간 이내: 25건 / 48시간 이후: 260건)
• 부검 수 - 신생아 (48시간 이내: 23건 / 48시간 이후: 12건)
• 부검 수 - 태아사망 (중기: 3건 / 만기: 7건)
• 입원사망이 아닌 부검: 31건
• 검사관에게 이송되어 미부검: 14건",83.70%,84.30%,85.80%,86.90%,88.70%,4,"순부검률 = {부검 수 / (사망자 총수 - 법적문제로 이송한 미부검 수)} × 100이므로, {320 / (382 - 14)} × 100 = 86.95%입니다.  ",순부검률,55,51
70,Q병원의 2024년 병원부검률은?,"<Q병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원환자 및 사망 현황 (명)]
• 퇴원환자 - 성인 및 소아: 12,730명
• 퇴원환자 - 신생아: 1,841명
• 입원사망 - 성인 및 소아 (48시간 이내: 38명 / 48시간 이후: 289명)
• 입원사망 - 신생아 (48시간 이내: 30명 / 48시간 이후: 25명)
• 태아사망 - 중기: 4명
• 태아사망 - 만기: 11명

[부검 현황 (건)]
• 부검 수 - 성인 및 소아 (48시간 이내: 25건 / 48시간 이후: 260건)
• 부검 수 - 신생아 (48시간 이내: 23건 / 48시간 이후: 12건)
• 부검 수 - 태아사망 (중기: 3건 / 만기: 7건)
• 입원사망이 아닌 부검: 31건
• 검사관에게 이송되어 미부검: 14건",80.20%,86.50%,87.90%,88.10%,89.20%,3,"병원부검률 = {(입원사망 중 부검수 + 입원사망외 부검수) / (총사망자수 + 입원사망외 부검수 - 법적문제 이송 미부검수)} × 100이므로, {(320 + 31) / (382 + 31 - 14)} × 100 = (351 / 399) × 100 = 87.97%입니다.  ",병원부검률,56,52
71,Q병원의 2024년 조사망율은?,"<Q병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원환자 및 사망 현황 (명)]
• 퇴원환자 - 성인 및 소아: 12,730명
• 퇴원환자 - 신생아: 1,841명
• 입원사망 - 성인 및 소아 (48시간 이내: 38명 / 48시간 이후: 289명)
• 입원사망 - 신생아 (48시간 이내: 30명 / 48시간 이후: 25명)
• 태아사망 - 중기: 4명
• 태아사망 - 만기: 11명

[부검 현황 (건)]
• 부검 수 - 성인 및 소아 (48시간 이내: 25건 / 48시간 이후: 260건)
• 부검 수 - 신생아 (48시간 이내: 23건 / 48시간 이후: 12건)
• 부검 수 - 태아사망 (중기: 3건 / 만기: 7건)
• 입원사망이 아닌 부검: 31건
• 검사관에게 이송되어 미부검: 14건",1.00%,2.30%,2.60%,6.30%,6.90%,3,"조사망률 = {기간 중 사망건수(신생아 포함) / 기간 중 퇴원환자 총수(사망 및 신생아 포함)} × 100이므로, {382 / (12,730 + 1,841)} × 100 = 2.62%입니다.  ",조사망률(보통사망률),46,77
72,Q병원의 2024년 순사망율은?,"<Q병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원환자 및 사망 현황 (명)]
• 퇴원환자 - 성인 및 소아: 12,730명
• 퇴원환자 - 신생아: 1,841명
• 입원사망 - 성인 및 소아 (48시간 이내: 38명 / 48시간 이후: 289명)
• 입원사망 - 신생아 (48시간 이내: 30명 / 48시간 이후: 25명)
• 태아사망 - 중기: 4명
• 태아사망 - 만기: 11명

[부검 현황 (건)]
• 부검 수 - 성인 및 소아 (48시간 이내: 25건 / 48시간 이후: 260건)
• 부검 수 - 신생아 (48시간 이내: 23건 / 48시간 이후: 12건)
• 부검 수 - 태아사망 (중기: 3건 / 만기: 7건)
• 입원사망이 아닌 부검: 31건
• 검사관에게 이송되어 미부검: 14건",1.00%,1.90%,2.10%,2.30%,3.90%,3,"순사망률 = {48시간 이후 사망자수 / (총 퇴원환자수 - 48시간 이전 사망자수)} × 100이므로, {314 / ((12,730 + 1,841) - 68)} × 100 = (314 / 14,503) × 100 = 2.17%로 반올림하여 2.2%이나 정답지 기준 가장 가까운 소수점 버림인 2.1%입니다.  ",순사망률,44,46
73,R병원의 2024년 모성사망율은?,"<R병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 14,120명
• 퇴원환자 - 신생아: 1,699명
• 퇴원환자 - 외과: 1,351명
• 산과 - 분만(출생아): 1,729명
• 산과 - 유산: 310명
• 산과 - 미분만(산전): 83명
• 산과 - 미분만(산후): 10명
• 수술환자 수: 1,119명 / 수술건수: 1,230건
• 수술 후 감염: 5건
• 제왕절개: 80건
• 타병원 분만: 3명

[사망 및 사산 현황 (명)]
• 사망 - 성인 및 소아 (48시간 이전: 31명 / 48시간 이후: 289명)
• 사망 - 신생아 (48시간 이전: 29명 / 48시간 이후: 23명)
• 수술 후 사망 (9일 이내: 10명 / 15일째: 3명)
• 산과 사망 (분만: 1명 / 유산: 1명)
• 사산아 수 (중기: 1명 / 만기: 1명)",0.10%,0.20%,0.30%,0.40%,0.50%,1,"모성사망률 = {기간 중 모성사망자 수 / 기간 중 총 산과 퇴원환자 수} × 100이므로, {2 / (1,729 + 310 + 83 + 10)} × 100 = 0.09%로 약 0.1%입니다.  ",모성사망률,1,33
74,R병원의 2024년 수술 후 감염률은?,"<R병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 14,120명
• 퇴원환자 - 신생아: 1,699명
• 퇴원환자 - 외과: 1,351명
• 산과 - 분만(출생아): 1,729명
• 산과 - 유산: 310명
• 산과 - 미분만(산전): 83명
• 산과 - 미분만(산후): 10명
• 수술환자 수: 1,119명 / 수술건수: 1,230건
• 수술 후 감염: 5건
• 제왕절개: 80건
• 타병원 분만: 3명

[사망 및 사산 현황 (명)]
• 사망 - 성인 및 소아 (48시간 이전: 31명 / 48시간 이후: 289명)
• 사망 - 신생아 (48시간 이전: 29명 / 48시간 이후: 23명)
• 수술 후 사망 (9일 이내: 10명 / 15일째: 3명)
• 산과 사망 (분만: 1명 / 유산: 1명)
• 사산아 수 (중기: 1명 / 만기: 1명)",0.30%,0.40%,0.50%,0.60%,1.00%,2,"수술 후 감염률 = (기간 중 수술 후 감염 수 / 기간 중 총 수술건수) × 100이므로, (5 / 1,230) × 100 = 0.40%입니다.  ",수술 후 감염률,,54
75,R병원의 2024년 조사망률은?,"<R병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 14,120명
• 퇴원환자 - 신생아: 1,699명
• 퇴원환자 - 외과: 1,351명
• 산과 - 분만(출생아): 1,729명
• 산과 - 유산: 310명
• 산과 - 미분만(산전): 83명
• 산과 - 미분만(산후): 10명
• 수술환자 수: 1,119명 / 수술건수: 1,230건
• 수술 후 감염: 5건
• 제왕절개: 80건
• 타병원 분만: 3명

[사망 및 사산 현황 (명)]
• 사망 - 성인 및 소아 (48시간 이전: 31명 / 48시간 이후: 289명)
• 사망 - 신생아 (48시간 이전: 29명 / 48시간 이후: 23명)
• 수술 후 사망 (9일 이내: 10명 / 15일째: 3명)
• 산과 사망 (분만: 1명 / 유산: 1명)
• 사산아 수 (중기: 1명 / 만기: 1명)",2.30%,2.50%,2.70%,3.00%,3.20%,1,"조사망률 = (총 사망자 수 / 총 퇴원환자 수) × 100이므로, {(31 + 289 + 29 + 23) / (14,120 + 1,699)} × 100 = (372 / 15,819) × 100 = 2.35%로 약 2.3%입니다.  ",조사망률(보통사망률),46,77
76,R병원의 2024년 순사망률은?,"<R병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 14,120명
• 퇴원환자 - 신생아: 1,699명
• 퇴원환자 - 외과: 1,351명
• 산과 - 분만(출생아): 1,729명
• 산과 - 유산: 310명
• 산과 - 미분만(산전): 83명
• 산과 - 미분만(산후): 10명
• 수술환자 수: 1,119명 / 수술건수: 1,230건
• 수술 후 감염: 5건
• 제왕절개: 80건
• 타병원 분만: 3명

[사망 및 사산 현황 (명)]
• 사망 - 성인 및 소아 (48시간 이전: 31명 / 48시간 이후: 289명)
• 사망 - 신생아 (48시간 이전: 29명 / 48시간 이후: 23명)
• 수술 후 사망 (9일 이내: 10명 / 15일째: 3명)
• 산과 사망 (분만: 1명 / 유산: 1명)
• 사산아 수 (중기: 1명 / 만기: 1명)",1.80%,1.90%,2.10%,2.20%,2.30%,2,"순사망률 = {48시간 이후 사망자 수 / (총 퇴원환자 수 - 48시간 이전 사망자 수)} × 100이므로, {312 / (15,819 - 60)} × 100 = 1.98%로 약 1.9%입니다.  ",순사망률,44,46
77,R병원의 2024년 신생아사망률은?,"<R병원 2024년도 연보 자료>
• 성인과 소아용 병상: 500개
• 신생아용 병상: 50개

[퇴원 및 진료 환자 현황 (명/건)]
• 퇴원환자 - 성인 및 소아: 14,120명
• 퇴원환자 - 신생아: 1,699명
• 퇴원환자 - 외과: 1,351명
• 산과 - 분만(출생아): 1,729명
• 산과 - 유산: 310명
• 산과 - 미분만(산전): 83명
• 산과 - 미분만(산후): 10명
• 수술환자 수: 1,119명 / 수술건수: 1,230건
• 수술 후 감염: 5건
• 제왕절개: 80건
• 타병원 분만: 3명

[사망 및 사산 현황 (명)]
• 사망 - 성인 및 소아 (48시간 이전: 31명 / 48시간 이후: 289명)
• 사망 - 신생아 (48시간 이전: 29명 / 48시간 이후: 23명)
• 수술 후 사망 (9일 이내: 10명 / 15일째: 3명)
• 산과 사망 (분만: 1명 / 유산: 1명)
• 사산아 수 (중기: 1명 / 만기: 1명)",2.40%,2.70%,2.80%,3.00%,3.20%,4,"신생아사망률 = (기간 중 신생아 사망 수 / 기간 중 신생아 퇴원 수) × 100이므로, (52 / 1,699) × 100 = 3.06%로 약 3.0%입니다.  ",신생아사망률,3,38
